occupation,numberEmployed,averageSalary,
"Roof Bolters, Mining",3930,58110,
Appraisers and Assessors of Real Estate,60770,58030,
"Healthcare Practitioners and Technical Workers, All Other",36000,57960,
"Tax Examiners and Collectors, and Revenue Agents",58450,57950,
Fundraisers,68910,57930,
Executive Secretaries and Executive Administrative Assistants,631610,57910,
Health Educators,57570,57900,
First-Line Supervisors of Office and Administrative Support Workers,1443150,57890,
Electro-Mechanical Technicians,13710,57860,
"Educational, Guidance, School, and Vocational Counselors",260670,57620,
Set and Exhibit Designers,12060,57600,
Mechanical Drafters,63630,57480,
"Fine Artists, Including Painters, Sculptors, and Illustrators",11520,57410,
Mechanical Engineering Technicians,45510,57180,
"Rotary Drill Operators, Oil and Gas",17400,57140,
Cardiovascular Technologists and Technicians,53760,57100,
"Special Education Teachers, Preschool",28140,56990,
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",67390,56990,
Court Reporters,17700,56940,
Industrial Engineering Technicians,63220,56920,
Physical Therapist Assistants,85580,56850,
Electricians,607120,56650,
"Precision Instrument and Equipment Repairers, All Other",11640,56570,
Mine Shuttle Car Operators,1590,56370,
Interior Designers,53160,56220,
"Control and Valve Installers and Repairers, Except Mechanical Door",45740,56180,
Structural Iron and Steel Workers,69440,56040,
"Plumbers, Pipefitters, and Steamfitters",411870,56030,
Food Service Managers,201470,56010,
"Vocational Education Teachers, Postsecondary",116430,55730,
Healthcare Social Workers,159310,55510,
"Kindergarten Teachers, Except Special Education",151290,55460,
Probation Officers and Correctional Treatment Specialists,87500,55380,
"Plant and System Operators, All Other",11970,55340,
"Railroad Brake, Signal, and Switch Operators",19860,55320,
Crane and Tower Operators,45020,55280,
Adult Basic and Secondary Education and Literacy Teachers and Instructors,58810,55140,
Fish and Game Wardens,6610,54760,
"Morticians, Undertakers, and Funeral Directors",25850,54700,
Telecommunications Line Installers and Repairers,100080,54700,
"Explosives Workers, Ordnance Handling Experts, and Blasters",6310,54580,
Archivists,5760,54570,
"Telecommunications Equipment Installers and Repairers, Except Line Installers",228430,54520,
"Drafters, All Other",15530,54410,
Wind Turbine Service Technicians,4580,54360,
Architectural and Civil Drafters,96810,54290,
Marriage and Family Therapists,36960,54090,
Commercial Divers,3370,53990,
Millwrights,39670,53950,
Tapers,18480,53790,
"Radio, Cellular, and Tower Equipment Installers and Repairers",14120,53620,
Choreographers,5160,53610,
Reinforcing Iron and Rebar Workers,20020,53600,
Rail Car Repairers,22090,53590,
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",25180,53560,
Private Detectives and Investigators,28490,53530,
"Service Unit Operators, Oil, Gas, and Mining",42890,53520,
Brickmasons and Blockmasons,64370,53440,
Paralegals and Legal Assistants,277310,53180,
Computer User Support Specialists,602840,53100,
Hearing Aid Specialists,6740,53000,
Rail-Track Laying and Maintenance Equipment Operators,14250,52810,
Continuous Mining Machine Operators,12030,52650,
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",42010,52530,
Occupational Health and Safety Technicians,16560,52520,
Environmental Engineering Technicians,16550,52500,
Brokerage Clerks,59820,52380,
Airfield Operations Specialists,8760,52380,
"Rail Yard Engineers, Dinkey Operators, and Hostlers",4530,52320,
Graphic Designers,210710,52290,
"Education Administrators, Preschool and Childcare Center/Program",48530,52150,
Farm and Home Management Advisors,8620,52150,
Civil Engineering Technicians,72150,52120,
"Meeting, Convention, and Event Planners",95850,52020,
Aircraft Cargo Handling Supervisors,7460,51900,
Industrial Machinery Mechanics,334490,51890,
Flight Attendants,113390,51620,
Tool and Die Makers,72210,51610,
"Title Examiners, Abstractors, and Searchers",54560,51490,
Interpreters and Translators,51350,51260,
"Loading Machine Operators, Underground Mining",2550,51260,
"Earth Drillers, Except Oil and Gas",18500,51240,
"Extraction Workers, All Other",4320,51170,
"Derrick Operators, Oil and Gas",11580,51140,
"Insulation Workers, Mechanical",27270,51100,
Sheet Metal Workers,134450,51080,
Medical Equipment Repairers,43370,50910,
"Media and Communication Workers, All Other",23310,50860,
Gaming Supervisors,22130,50810,
"Mobile Heavy Equipment Mechanics, Except Engines",123570,50810,
Wellhead Pumpers,11610,50730,
"First-Line Supervisors of Protective Service Workers, All Other",72880,50690,
Mine Cutting and Channeling Machine Operators,5930,50670,
Postal Service Mail Carriers,328950,50610,
Operating Engineers and Other Construction Equipment Operators,356750,50560,
Respiratory Therapy Technicians,10600,50520,
Firefighters,315910,50520,
Costume Attendants,6640,50470,
"Model Makers, Metal and Plastic",6250,50360,
Exercise Physiologists,6880,50310,
Chemical Equipment Operators and Tenders,73840,50300,
"Mining Machine Operators, All Other",2160,50220,
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",183620,50160,
Audio-Visual and Multimedia Collections Specialists,10300,50130,
Hoist and Winch Operators,2960,50020,
Chemical Technicians,65510,49770,
Reporters and Correspondents,40090,49770,
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",110770,49710,
Credit Counselors,34110,49480,
Clergy,49320,49450,
"Life, Physical, and Social Science Technicians, All Other",68540,49270,
"Production, Planning, and Expediting Clerks",321780,49050,
Riggers,21020,49030,
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",19550,48820,
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",103070,48790,
Traffic Technicians,6410,48650,
Fabric and Apparel Patternmakers,5310,48460,
Postal Service Clerks,82030,48360,
Carpenters,676980,48340,
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",294730,48320,
Statistical Assistants,10900,48300,
Recreational Therapists,18100,48190,
Radio and Television Announcers,29210,48170,
"Environmental Science and Protection Technicians, Including Health",32950,47930,
Water and Wastewater Treatment Plant and System Operators,115840,47930,
Legal Secretaries,191200,47900,
Mental Health and Substance Abuse Social Workers,114040,47880,
Athletic Trainers,24130,47880,
"Patternmakers, Wood",970,47850,
"Layout Workers, Metal and Plastic",9070,47720,
"Counselors, All Other",28380,47640,
"Teachers and Instructors, All Other, Except Substitute Teachers",292950,47570,
"Child, Family, and School Social Workers",298840,47510,
"Model Makers, Wood",1040,47480,
Audio and Video Equipment Technicians,69670,47450,
Drywall and Ceiling Tile Installers,93180,47400,
Chefs and Head Cooks,134190,47390,
Farm Labor Contractors,810,47290,
Glaziers,47140,47260,
"Refractory Materials Repairers, Except Brickmasons",1540,47000,
"Education, Training, and Library Workers, All Other",100640,46970,
Social Science Research Assistants,30030,46820,
Surgical Technologists,105720,46800,
Radio Operators,870,46780,
Correctional Officers and Jailers,431600,46750,
Bus and Truck Mechanics and Diesel Engine Specialists,254280,46710,
Bridge and Lock Tenders,3510,46680,
Dredge Operators,1760,46530,
"Painters, Transportation Equipment",54860,46270,
"Pump Operators, Except Wellhead Pumpers",12030,46270,
Sailors and Marine Oilers,32530,46170,
Biological Technicians,74720,46130,
Mental Health Counselors,139820,46050,
"Health Technologists and Technicians, All Other",122170,46020,
"Maintenance Workers, Machinery",89630,46000,
Terrazzo Workers and Finishers,3420,45990,
Bailiffs,17880,45740,
