City,costofLivingIndex,rentIndex,costOfLivingPlusRentIndex,groceriesIndex,restaurantPriceIndex,LocalPurchasingPowerIndex
"Kansas City, MO, United States",68.5,29.9,49.69,65.89,63.71,135.39
"Chattanooga, TN, United States",67.91,28.33,48.62,68.37,63.35,146.6
"Mobile, AL, United States",65.72,24.58,45.67,67.96,63.26,115.09
"Kitchener, Canada",65.45,27.69,47.05,59.79,63.22,122.45
"Fort Collins, CO, United States",74.79,42.05,58.84,82.14,63.1,72.17
"Greensboro, NC, United States",73.91,25.24,50.19,80.96,62.98,147.55
"Omaha, NE, United States",68.26,29.37,49.31,69.72,62.82,133.79
"Surrey, Canada",68.53,33.26,51.34,66.35,62.8,93.28
"Arlington, TX, United States",65.52,30.01,48.22,62.54,62.28,152.65
"Huntsville, AL, United States",63.26,26.95,45.57,64.67,61.79,152.77
"San Antonio, TX, United States",61.95,34.44,48.54,59.93,61.66,151.47
"Lincoln, NE, United States",68.88,27.48,48.71,73.63,60.55,115.42
"Athens, GA, United States",60.78,26.05,43.86,58.33,60.22,110.66
"Oklahoma City, OK, United States",64.88,26.23,46.05,67.17,58.77,143.82
"Sioux Falls, SD, United States",67.97,25.89,47.46,69.06,58.68,166.15
"Tallahassee, FL, United States",73.42,27.48,51.03,87.22,58.43,115.19
"College Station, TX, United States",62.38,32.46,47.8,69.73,57.73,117.88
