state_name,city,medianHouseholdIncome
Illinois,Highland Park city,130355
Virginia,Linton Hall CDP,130306
California,Westlake Village city,130272
Massachusetts,South Duxbury CDP,130260
Virginia|Hampden,Hampden-Sydney CDP,130197
California,Pleasanton city,130170
Pennsylvania,Blue Bell CDP,130164
North Dakota,Knox city,130139
Alabama,Mountain Brook city,129777
New York,Merritt Park CDP,129773
Washington,Canterwood CDP,129773
Texas,Dalworthington Gardens city,129750
California,Foster City city,129733
California,Rolling Hills Estates city,129728
New Jersey,Lincroft CDP,129716
Maryland,Arden on the Severn CDP,129545
New York,Lattingtown village,129375
Texas,Copper Canyon town,129375
Washington,Mercer Island city,129348
New Jersey,Fairview CDP,129231
Wyoming,Alpine Northwest CDP,129023
Oregon,Tumalo CDP,128958
Montana,West Havre CDP,128864
Maryland,Severna Park CDP,128845
Florida,Sea Ranch Lakes village,128750
New York,Water Mill CDP,128750
Pennsylvania,Rosslyn Farms borough,128750
Massachusetts,Topsfield CDP,128734
New Jersey,Closter borough,128674
Nevada,Skyland CDP,128654
Virginia,Mount Vernon CDP,128646
California,Bodega Bay CDP,128625
Missouri,Glendale city,128571
Kentucky,Glenview Hills city,128542
Pennsylvania,Churchville CDP,128520
California,Dublin city,128403
Florida,Parkland city,128292
New York,Great River CDP,128250
Virginia,Rivanna CDP,128214
New Jersey,Greenwich CDP,128125
Ohio,New California CDP,128000
Virginia,Kings Park CDP,127989
Utah,Pine Valley CDP,127847
New Jersey,Martinsville CDP,127778
Minnesota,Greenwood city,127614
Kentucky,Thornhill city,127500
New York,Atlantic Beach village,127500
New York,Upper Nyack village,127500
Massachusetts,Newton city,127402
Maine,Cumberland Center CDP,127396
New York,Wantagh CDP,127375
Florida,Windermere town,127344
California,Los Gatos town,127278
New Jersey,Springdale CDP,127240
New Jersey,Brielle borough,127163
Michigan,Lake Angelus city,127083
New York,Irvington village,127045
Massachusetts,Sharon CDP,126968
New York,Melville CDP,126835
Connecticut,Newtown borough,126806
Illinois,Burr Ridge village,126771
Virginia,Montclair CDP,126745
New Jersey,Hutchinson CDP,126667
Ohio,Hudson city,126618
Alabama,Shoal Creek CDP,126597
Maryland,Mayo CDP,126534
Kentucky,Old Brownsboro Place city,126250
New Jersey,Watchung borough,126250
New York|Grand View|on,Grand View-on-Hudson village,126250
North Dakota,Reile's Acres city,126250
Texas,Lake Tanglewood village,126250
Texas,Sunnyvale town,126250
Texas,Taylor Lake Village city,126250
New Jersey,Barclay CDP,126193
Maryland,Huntingtown CDP,126071
California,Menlo Park city,126045
North Carolina,Weddington town,125966
Maryland,St. George Island CDP,125962
California,Corte Madera town,125915
California,El Granada CDP,125896
New York,North Haven village,125893
New York,Saddle Rock village,125833
Maryland,Annapolis Neck CDP,125741
Illinois,Northfield village,125636
New York,Point Lookout CDP,125625
Texas,Lake View CDP,125603
New York,Woodmere CDP,125576
Maryland,Middletown town,125568
Texas,Olmos Park city,125568
Oregon,Stafford CDP,125556
Ohio,Dublin city,125540
Massachusetts,Deerfield CDP,125515
California,El Dorado Hills CDP,125489
Missouri,Wildwood city,125444
New York,Fort Salonga CDP,125422
Colorado,Lazy Acres CDP,125417
New York,Thornwood CDP,125357
Washington,Duvall city,125123
Texas,Fair Oaks Ranch city,125119
New Jersey,Six Mile Run CDP,125083
Maryland,Bensville CDP,125016
Texas,Cross Mountain CDP,124849
Virginia,Mantua CDP,124786
Virginia,Kingstowne CDP,124779
Maryland,Hughesville CDP,124739
New York,Eatons Neck CDP,124732
Connecticut,Weatogue CDP,124621
Florida,Key Biscayne village,124504
Kentucky,Ten Broeck city,124375
Colorado,St. Ann Highlands CDP,124301
Colorado,Woodmoor CDP,124301
Illinois,Port Barrington village,124196
New York,East Shoreham CDP,124177
New York,Bellmore CDP,124048
Missouri,Dardenne Prairie city,123942
Wisconsin,Shorewood Hills village,123889
New York,North Hills village,123798
Maryland,Riva CDP,123750
Minnesota,Pine Springs city,123750
New York,Pomona village,123750
North Dakota,Calvin city,123750
Minnesota,Shorewood city,123629
New York,Halesite CDP,123548
Kansas,Westwood Hills city,123500
Texas,Flower Mound town,123492
Illinois,Gilberts village,123399
New Jersey,Succasunna CDP,123333
Pennsylvania,Bear Creek Village borough,123333
New Jersey,Morris Plains borough,123263
New Jersey,Monmouth Junction CDP,123250
New Jersey,East Millstone CDP,123182
Arizona,Lazy Y U CDP,123158
Minnesota,Deephaven city,123152
Oklahoma,Nichols Hills city,123098
Texas,Prado Verde CDP,123056
California,Peters CDP,123036
Iowa,Twin Lakes CDP,122917
Indiana,Woodlawn Heights town,122813
New York,Stony Brook CDP,122800
New York,Blauvelt CDP,122757
New York,Massapequa CDP,122748
Illinois,Bull Valley village,122708
Utah,Highland city,122666
Massachusetts,Milton CDP,122516
New Jersey,Mountainside borough,122500
California,Herald CDP,122361
California,Del Rio CDP,122331
California,Las Flores CDP (Orange County),122331
Virginia,Haymarket town,122303
Texas,Keller city,122292
New York,North Merrick CDP,122250
New York,Commack CDP,122143
Texas,Volente village,122083
New York,Woodbury village,122059
California,Muir Beach CDP,122000
New York,Glenwood Landing CDP,121917
Utah,Summit Park CDP,121841
Massachusetts,West Falmouth CDP,121806
California,Stevenson Ranch CDP,121802
Virginia,Newington Forest CDP,121744
Maryland,Accokeek CDP,121736
Virginia,Hillsboro town,121667
Pennsylvania,Franklin Park borough,121661
California,Monument Hills CDP,121635
Colorado,The Pinery CDP,121615
Michigan,Huntington Woods city,121528
Missouri,LaBarque Creek CDP,121442
California,Oak Park CDP,121348
California,Hermosa Beach city,121345
Missouri,Grantwood Village town,121250
Colorado,Upper Bear Creek CDP,121103
Pennsylvania,Woxall CDP,121094
New Jersey,Allenwood CDP,121067
Maryland,Herald Harbor CDP,121053
Maryland,Ellicott City CDP,121019
Maryland,Mitchellville CDP,121000
Florida,Indian River Shores town,120909
New Hampshire,Plainfield CDP,120893
Illinois,Timberlane village,120875
Tennessee,Lookout Mountain town,120875
Virginia,Ashburn CDP,120862
Georgia,Berkeley Lake city,120795
Virginia,New Baltimore CDP,120786
New York,Rye Brook village,120758
North Dakota,Harmon CDP,120750
Ohio,Wyoming city,120676
Maryland,Gambrills CDP,120673
California,Rancho Palos Verdes city,120668
New York,Dobbs Ferry village,120631
Texas,Annetta North town,120625
New Jersey,Madison borough,120608
New York,New City CDP,120572
North Carolina,Walnut Creek village,120568
Ohio,Wetherington CDP,120530
New Jersey,Dayton CDP,120424
Utah,Silver Summit CDP,120357
Ohio|Hide|A,Hide-A-Way Hills CDP,120347
South Carolina,Tega Cay city,120346
Virginia,Oakton CDP,120335
Maryland,Williston CDP,120288
Texas,Prosper town,120270
North Dakota,Frontier city,120208
California,Belmont city,120169
Washington,Ames Lake CDP,120089
Iowa,Shueyville city,120000
Colorado,Watkins CDP,119792
New York,Thomaston village,119760
New York,Brightwaters village,119750
California,Granite Bay CDP,119701
California,Yorba Linda city,119697
Illinois,Barrington village,119688
Texas,Tiki Island village,119643
Maryland|Ashton,Ashton-Sandy Spring CDP,119609
Iowa,Robins city,119583
Maryland,Rosaryville CDP,119519
Missouri,Des Peres city,119517
Wisconsin,Elm Grove village,119512
Michigan,Grosse Pointe Farms city,119500
Michigan,Forest Hills CDP,119473
Montana,Kerr CDP,119423
Minnesota,Orono city,119393
New Jersey,Fanwood borough,119383
Colorado,Bark Ranch CDP,119375
Connecticut,Ridgefield CDP,119338
Virginia,New Kent CDP,119333
Washington,Shadow Lake CDP,119318
Massachusetts,West Concord CDP,119273
Pennsylvania,Richboro CDP,119250
New Jersey,Bradley Gardens CDP,119202
California,Wallace CDP,119196
New York,Peach Lake CDP,119185
Minnesota,Tonka Bay city,119167
California|Lucas Valley,Lucas Valley-Marinwood CDP,119148
Illinois,Libertyville village,119125
New York,West Hills CDP,119088
Illinois,Campton Hills village,119044
Colorado,Eldorado Springs CDP,119028
New Jersey,White Meadow Lake CDP,118983
New Jersey,East Freehold CDP,118913
California,Saranap CDP,118906
Missouri,Warson Woods city,118889
New Jersey,Lake Mohawk CDP,118888
Massachusetts,Marshfield Hills CDP,118884
Texas,Murphy city,118843
Kentucky,Manor Creek city,118750
Kentucky,Strathmoor Manor city,118750
Maryland,Barnesville town,118750
Maryland,Washington Grove town,118750
Minnesota,Gem Lake city,118750
New Jersey,Mantoloking borough,118750
Washington,Edison CDP,118750
Ohio,Ottawa Hills village,118700
Virginia,Aquia Harbour CDP,118672
Massachusetts,New Seabury CDP,118659
New York,Greenvale CDP,118611
California,Topanga CDP,118561
Missouri,Westwood village,118500
New Jersey,Hoboken city,118479
New Jersey,Princeton,118467
Colorado,Perry Park CDP,118438
Michigan,East Grand Rapids city,118393
Colorado,Sawpit town,118333
Pennsylvania,Mount Gretna borough,118311
Texas,Haslet city,118281
Virginia,Franconia CDP,118233
New Jersey,Allamuchy CDP,118214
New Jersey,Clyde CDP,118214
South Carolina,Sullivan's Island town,118214
Indiana,Zionsville town,118190
New Jersey,Kendall Park CDP,118185
New Jersey,Hillsdale borough,118138
Maryland,Cloverly CDP,118134
New York,Massapequa Park village,117934
Maryland,Four Corners CDP,117925
